[2024-11-05 20:48:15] Starting Symbols.py...
[2024-11-05 20:48:17] Output of Symbols.py:
Symbols saved to Symbols.csv for 05112024

[2024-11-05 20:48:17] Starting StkData.py...
[2024-11-05 22:23:12] Output of StkData.py:
       SYMBOL
0  1018GS2026
1   20MICRONS
2  21STCENMGM
3      360ONE
4   3IINFOLTD
Stock data for 1018GS2026: ('', '', '', '')
Stock data for HINDUNILVR: ('Diversified FMCG', 'Diversified FMCG', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for HINDWAREAP: ('Sanitary Ware', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for HINDZINC: ('Zinc', 'Non - Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for HIRECT: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for HISARMETAL: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HITECH: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HITECHCORP: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HITECHGEAR: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for HLEGLAS: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for HLVLTD: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for HMAAGRO: ('Meat Products including Poultry', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for HMT: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for HMVL: ('Print Media', 'Media', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for HNDFDS: ('Diversified FMCG', 'Diversified FMCG', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for HNGSNGBEES: ('', '', '', '')
Stock data for HOLMARC: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HOMEFIRST: ('Housing Finance Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for HONASA: ('Personal Care', 'Personal Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for HONAUT: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for HONDAPOWER: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for HOVS: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for HPAL: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for HPIL: ('Dyes And Pigments', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for HPL: ('Consumer Electronics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for HRHNEXT: ('Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for HSCL: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for HTMEDIA: ('Print Media', 'Media', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for HUBTOWN: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for HUDCO: ('Financial Institution', 'Finance', 'Financial Services', 'Financial Services')
Stock data for HUHTAMAKI: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for HVAX: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for HYBRIDFIN: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for HYUNDAI: ('Passenger Cars & Utility Vehicles', 'Automobiles', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for IBLFL: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for ICDSLTD: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for ICEMAKE: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for ICICIB22: ('', '', '', '')
Stock data for ICICIBANK: ('Private Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for ICICIGI: ('General Insurance', 'Insurance', 'Financial Services', 'Financial Services')
Stock data for ICICIPRULI: ('Life Insurance', 'Insurance', 'Financial Services', 'Financial Services')
Stock data for ICIL: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for ICRA: ('Ratings', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for IDBI: ('Private Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for IDEA: ('Telecom - Cellular & Fixed line services', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for IDEAFORGE: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for IDEALTECHO: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for IDFCFIRSTB: ('Private Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for IDFNIFTYET: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for IEL: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for IEML: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for IEX: ('Exchange and Data Platform', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for IFBAGRO: ('Breweries & Distilleries', 'Beverages', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for IFBIND: ('Household Appliances', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for IFCI: ('Financial Institution', 'Finance', 'Financial Services', 'Financial Services')
Stock data for IFGLEXPOR: ('Electrodes & Refractories', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for IGARASHI: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for IGL: ('LPG/CNG/PNG/LNG Supplier', 'Gas', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for IGPL: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for IIFL: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for IIFLSEC: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for IITL: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for IKIO: ('Consumer Electronics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for IL&FSENGG: (None, None, None, None)
Stock data for IL&FSTRANS: (None, None, None, None)
Stock data for IMAGICAA: ('Amusement Parks/ Other Recreation', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for IMFA: ('Ferro & Silica Manganese', 'Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for IMPAL: ('Trading - Auto Components', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for IMPEXFERRO: ('Ferro & Silica Manganese', 'Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for INCREDIBLE: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for INDBANK: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for INDGN: ('Healthcare Research Analytics & Technology', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for INDHOTEL: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for INDIACEM: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for INDIAGLYCO: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for INDIAMART: ('Internet & Catalogue Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for INDIANB: ('Public Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for INDIANCARD: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for INDIANHUME: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for INDIASHLTR: ('Housing Finance Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for INDIFRA: ('Gas Transmission/Marketing', 'Gas', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for INDIGO: ('Airline', 'Transport Services', 'Services', 'Services')
Stock data for INDIGOPNTS: ('Paints', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for INDIGRID: ('Power - Transmission', 'Power', 'Utilities', 'Power')
Stock data for INDNIPPON: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for INDOAMIN: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for INDOBORAX: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for INDOCO: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for INDORAMA: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for INDOSTAR: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for INDOTECH: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for INDOTHAI: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for INDOUS: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for INDOWIND: ('Power Generation', 'Power', 'Utilities', 'Power')
Stock data for INDRAMEDCO: ('Hospital', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for INDSWFTLAB: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for INDSWFTLTD: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for INDTERRAIN: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for INDUSINDBK: ('Private Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for INDUSTOWER: ('Telecom - Infrastructure', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for INFIBEAM: ('Financial Technology (Fintech)', 'Financial Technology (Fintech)', 'Financial Services', 'Financial Services')
Stock data for INFINIUM: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for INFOBEAN: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for INFOLLION: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for INFRABEES: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for INFRAIETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for INFY: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for INGERRAND: ('Compressors Pumps & Diesel Engines', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for INM: ('Furniture Home Furnishing', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for INNOMET: ('Diversified Metals', 'Diversified Metals', 'Commodities', 'Metals & Mining')
Stock data for INNOVACAP: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for INNOVANA: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for INOXGREEN: ('Other Utilities', 'Other Utilities', 'Utilities', 'Utilities')
Stock data for INOXINDIA: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for INOXWIND: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for INSECTICID: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for INSPIRE: ('Media & Entertainment', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for INSPIRISYS: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for INTELLECT: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for INTENTECH: ('Software Products', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for INTERARCH: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for INTLCONV: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for INVENTURE: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for IOB: ('Public Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for IOC: ('Refineries & Marketing', 'Petroleum Products', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for IOLCP: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for IONEXCHANG: ('Water Supply & Management', 'Other Utilities', 'Utilities', 'Utilities')
Stock data for IPCALAB: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for IPHL: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for IPL: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for IPSL: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for IRB: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for IRBINVIT: ('Road Assets - Toll Annuity Hybrid-Annuity', 'Transport Infrastructure', 'Services', 'Services')
Stock data for IRCON: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for IRCTC: ('Tour Travel Related Services', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for IREDA: ('Financial Institution', 'Finance', 'Financial Services', 'Financial Services')
Stock data for IRFC: ('Financial Institution', 'Finance', 'Financial Services', 'Financial Services')
Stock data for IRIS: ('Software Products', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for IRISDOREME: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for IRMENERGY: ('LPG/CNG/PNG/LNG Supplier', 'Gas', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for ISEC: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ISFT: ('E-Retail/ E-Commerce', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for ISGEC: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for ISHAN: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for IT: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ITALIANE: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for ITBEES: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ITC: ('Diversified FMCG', 'Diversified FMCG', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for ITDC: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
